year,Pos,Player,photo,Runs,Mat,Inns,NO,HS,Avg,BF,SR,Century,Fifty,Four,Sixes,Team,Team_logo,Outs
2010,73,Graeme Smith,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,44,2,2,0,26,22,39,112.82,0,0,7,0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,2
2011,87,Graeme Smith,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,42,4,4,0,24,10.5,51,82.35,0,0,6,0,PWI,https://upload.wikimedia.org/wikipedia/en/4/4a/Pune_Warriors_India_IPL_Logo.png,4
2009,91,Graham Napier,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,15,1,1,0,15,15,16,93.75,0,0,1,0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,1
2024,115,Gulbadin Naib,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,19,2,1,0,19,19,15,126.66,0,0,1,1,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,1
2012,73,Gurkeerat Mann Singh,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,86,5,4,1,29,28.66,52,165.38,0,0,12,2,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,3.000697837
2013,66,Gurkeerat Mann Singh,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,108,11,9,1,31,13.5,95,113.68,0,0,10,3,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,8
2015,77,Gurkeerat Mann Singh,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,35,5,5,0,15,7,39,89.74,0,0,3,1,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,5
2016,55,Gurkeerat Mann Singh,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,113,7,6,1,51,22.6,86,131.39,0,1,11,3,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,5
2019,53,Gurkeerat Mann Singh,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,98,3,3,0,65,32.66,70,140,0,1,11,2,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,3.00061237
2020,64,Gurkeerat Mann Singh,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,71,8,5,5,21,1,80,88.75,0,0,8,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,71
2008,134,Halhadar Das,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,2,1,1,0,2,2,5,40,0,0,0,0,DEC,https://media.crictracker.com/media/attachments/1677234053985_Deccan-Chargers-logo.jpeg,1
2013,35,Hanuma Vihari,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,241,17,17,3,46,17.21,278,86.69,0,0,17,1,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,14.00348635
2015,73,Hanuma Vihari,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,39,5,4,0,16,9.75,35,111.42,0,0,6,0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,4
2019,119,Hanuma Vihari,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,4,2,2,0,2,2,8,50,0,0,0,0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,2
2008,91,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,30,3,3,1,28,15,17,176.47,0,0,1,3,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,2
2009,50,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,84,13,10,2,20,10.5,53,158.49,0,0,6,5,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,8
2010,55,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,105,15,7,3,49,26.25,63,166.66,0,0,12,5,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,4
2011,61,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,103,15,8,5,30,34.33,71,145.07,0,0,9,6,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,3.00029129
2012,65,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,108,17,11,2,33,12,80,135,0,0,14,3,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,9
2013,63,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,116,19,14,8,25,19.33,79,146.83,0,0,12,5,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,6.001034661
2014,85,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,28,14,7,2,10,5.6,25,112,0,0,2,2,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,5
2015,52,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,117,15,10,3,64,16.71,73,160.27,0,1,9,9,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,7.001795332
2016,59,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,92,14,7,4,45,30.66,84,109.52,0,0,11,2,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,3.000652316
2017,94,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,16,11,7,5,7,8,16,100,0,0,0,1,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,2
2018,85,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,29,13,3,0,19,9.66,36,80.55,0,0,3,1,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg,3.002070393
2019,130,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,1,11,1,0,1,1,3,33.33,0,0,0,0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg,1
2021,123,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan%20Singh.png,4,3,2,2,2,1,4,100,0,0,0,0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,4
2015,55,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,112,9,8,3,61,22.4,62,180.64,0,1,9,8,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,5
2016,73,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,44,11,9,2,9,6.28,63,69.84,0,0,4,0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,7.006369427
2017,35,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,250,17,16,9,35,35.71,160,156.25,0,0,11,20,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,7.000840101
2018,28,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,260,13,13,4,50,28.88,195,133.33,0,1,20,11,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,9.002770083
2019,16,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,402,16,15,6,91,44.66,210,191.42,0,1,28,29,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,9.001343484
2020,30,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,281,14,13,5,60,35.12,157,178.98,0,1,14,25,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,8.001138952
2021,49,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,127,12,11,2,40,14.11,112,113.39,0,0,11,5,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,9.000708717
2022,4,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,487,15,15,4,87,44.27,371,131.26,0,4,49,12,GT,https://imgk.timesnownews.com/media/Gujarat_Titans_logo.png,11.00067766
2023,26,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,346,16,15,4,66,31.45,253,136.75,0,2,26,15,GT,https://imgk.timesnownews.com/media/Gujarat_Titans_logo.png,11.00158983
2024,48,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,216,14,13,1,46,18,151,143.04,0,0,17,11,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,12
2025,49,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,224,15,12,3,48,24.89,137,163.5,0,0,18,12,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,8.999598232
2026,53,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik%20Pandya.png,97,6,6,1,40,19.4,69,140.57,0,0,12,2,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,5
2019,124,Hardus Viljoen,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,3,6,3,1,2,1.5,7,42.85,0,0,0,0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,2
2012,117,Harmeet Singh Bansal,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,15,7,2,1,14,15,7,214.28,0,0,3,0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,1
2013,149,Harmeet Singh Bansal,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,3,3,1,0,3,3,4,75,0,0,0,0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,1
2023,80,Harpreet Bhatia,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harpreet%20Bhatia.png,76,3,3,0,41,25.33,59,128.81,0,0,8,3,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,3.000394789
2024,105,Harpreet Bhatia,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harpreet%20Bhatia.png,27,2,2,0,14,13.5,34,79.41,0,0,2,0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,2
2019,82,Harpreet Brar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harpreet%20Brar.png,20,2,1,1,20,1,12,166.66,0,0,2,1,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,20
2021,68,Harpreet Brar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harpreet%20Brar.png,64,7,5,5,25,1,58,110.34,0,0,3,2,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,64
2022,112,Harpreet Brar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harpreet%20Brar.png,22,5,3,0,14,7.33,25,88,0,0,1,2,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,3.001364256
2023,89,Harpreet Brar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harpreet%20Brar.png,52,13,8,2,17,8.67,41,126.82,0,0,5,2,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,5.997693195
2024,83,Harpreet Brar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harpreet%20Brar.png,75,13,7,5,29,37.5,54,138.88,0,0,8,2,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,2
2025,116,Harpreet Brar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harpreet%20Brar.png,11,8,2,1,7,11,13,84.61,0,0,0,1,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,1
2011,122,Harpreet Singh,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,14,2,2,1,13,14,20,70,0,0,0,0,PWI,https://upload.wikimedia.org/wikipedia/en/4/4a/Pune_Warriors_India_IPL_Logo.png,1
2012,135,Harpreet Singh,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,6,1,1,0,6,6,6,100,0,0,0,0,PWI,https://upload.wikimedia.org/wikipedia/en/4/4a/Pune_Warriors_India_IPL_Logo.png,1
2023,52,Harry Brook,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harry%20Brook.png,190,11,11,2,100,21.11,154,123.37,1,0,23,4,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,9.000473709
2019,129,Harry Gurney,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,8,1,1,1,1,5,20,0,0,0,0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,1
2026,97,Harsh Dubey,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harsh%20Dubey.png,13,6,5,3,9,6.5,9,144.44,0,0,2,0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,2
2012,119,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,15,12,3,1,10,7.5,15,100,0,0,1,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,2
2014,93,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,13,3,3,1,6,6.5,7,185.71,0,0,1,1,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,2
2015,87,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,19,15,7,2,9,3.8,12,158.33,0,0,0,2,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,5
2018,68,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,60,5,2,1,36,60,33,181.81,0,0,1,6,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,1
2019,136,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,0,2,2,1,0,1,2,0,0,0,0,0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,0
2020,84,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,21,5,2,0,16,10.5,24,87.5,0,0,2,0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,2
2021,71,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,59,15,8,4,31,14.75,46,128.26,0,0,6,2,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,4
2022,94,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,43,15,8,3,11,8.6,39,110.25,0,0,4,2,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,5
2023,141,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,6,13,2,0,6,3,6,100,0,0,0,1,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,2
