year,Pos,Player,photo,Runs,Mat,Inns,NO,HS,Avg,BF,SR,Century,Fifty,Four,Sixes,Team,Team_logo,Outs
2024,125,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,13,14,4,1,12,4.33,19,68.42,0,0,1,1,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,3.002309469
2025,105,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,21,13,4,2,12,10.5,26,80.76,0,0,0,0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,2
2026,118,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,4,3,2,0,4,2,4,100,0,0,1,0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,2
2022,154,Harshit Rana,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshit%20Rana.png,2,2,2,1,2,2,2,100,0,0,0,0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,1
2025,91,Harshit Rana,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshit%20Rana.png,57,13,7,3,34,14.25,53,107.54,0,0,5,3,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,4
2016,45,Hashim Amla,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,157,6,6,0,96,26.16,119,131.93,0,1,20,4,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,6.001529052
2017,6,Hashim Amla,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,420,10,10,3,104,60,288,145.83,2,2,40,17,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,7
2018,70,Heinrich Klaasen,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Heinrich%20Klaasen.png,57,4,4,1,32,19,47,121.27,0,0,5,1,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,3
2019,100,Heinrich Klaasen,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Heinrich%20Klaasen.png,9,3,2,0,6,4.5,10,90,0,0,0,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,2
2023,12,Heinrich Klaasen,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Heinrich%20Klaasen.png,448,12,11,2,104,49.78,253,177.07,1,2,32,25,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,8.999598232
2024,11,Heinrich Klaasen,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Heinrich%20Klaasen.png,479,16,15,3,80,39.92,280,171.07,0,4,19,38,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,11.998998
2025,12,Heinrich Klaasen,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Heinrich%20Klaasen.png,487,13,13,2,105,44.27,282,172.69,1,1,42,25,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,11.00067766
2026,4,Heinrich Klaasen,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Heinrich%20Klaasen.png,349,8,8,1,62,49.86,233,149.78,0,3,25,14,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,6.999598877
