year,Pos,Player,Image,Wkts,Mat,Inns,Over,Runs,BBI,Average,Economic,Strike_Rate,Four_wkt,Five_wkt,Team,Team_logo
2018.0, 3 ,Rashid Khan,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Umesh Yadav.png,21.0,17.0,17.0,68.0,458.0,3/19,21.8,6.73,19.42,0.0,0.0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg
2018.0, 4 ,Umesh Yadav,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Hardik Pandya.png,20.0,14.0,14.0,53.0,418.0,4/24,20.9,7.86,15.95,0.0,0.0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg
2018.0, 5 ,Hardik Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Trent Boult.png,18.0,13.0,13.0,42.0,381.0,3/20,21.16,8.92,14.22,0.0,0.0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg
2018.0, 6 ,Trent Boult,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Jasprit Bumrah.png,18.0,14.0,14.0,52.0,466.0,4/18,25.88,8.84,17.55,0.0,0.0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg
2018.0, 7 ,Jasprit Bumrah,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Sunil Narine.png,17.0,14.0,14.0,54.0,372.0,4/14,21.88,6.88,19.05,0.0,0.0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg
2018.0, 8 ,Sunil Narine,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kuldeep Yadav.png,17.0,16.0,16.0,61.0,467.0,5/19,27.47,7.65,21.52,0.0,0.0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg
2018.0, 9 ,Kuldeep Yadav,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Shardul Thakur.png,17.0,16.0,16.0,51.0,418.0,4/20,24.58,8.14,18.11,1.0,0.0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg
2018.0, 10 ,Shardul Thakur,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Jofra Archer.png,16.0,13.0,13.0,46.0,431.0,3/19,26.93,9.23,17.5,0.0,0.0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg
2018.0, 11 ,Jofra Archer,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mayank Markande.png,15.0,10.0,10.0,39.0,325.0,3/15,21.66,8.36,15.53,0.0,0.0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png
2018.0, 12 ,Mayank Markande,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Dwayne Bravo.png,15.0,14.0,14.0,44.0,368.0,4/23,24.53,8.36,17.6,1.0,0.0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg
2018.0, 13 ,Dwayne Bravo,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mitchell McClenaghan.png,14.0,16.0,16.0,53.0,533.0,4/22,38.07,9.96,22.92,0.0,0.0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg
2018.0, 14 ,Mitchell McClenaghan,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mujeeb Ur Rahman.png,14.0,11.0,11.0,40.0,332.0,4/21,23.71,8.3,17.14,0.0,0.0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg
2018.0, 15 ,Mujeeb Ur Rahman,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Piyush Chawla.png,14.0,11.0,11.0,41.0,289.0,3/27,20.64,6.99,17.71,0.0,0.0,Rahman,
2018.0, 16 ,Piyush Chawla,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Shakib Al Hasan.png,14.0,15.0,15.0,49.0,412.0,4/17,29.42,8.4,21.0,0.0,0.0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg
2018.0, 17 ,Shakib Al Hasan,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andre Russell.png,14.0,17.0,17.0,57.0,456.0,3/17,32.57,8.0,24.42,0.0,0.0,Hasan,
2018.0, 18 ,Andre Russell,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Sandeep Sharma.png,13.0,16.0,15.0,38.0,355.0,5/15,27.3,9.38,17.46,0.0,0.0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg
2018.0, 19 ,Sandeep Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Krunal Pandya.png,12.0,12.0,12.0,44.0,333.0,4/20,27.75,7.56,22.0,0.0,0.0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg
2018.0, 20 ,Krunal Pandya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Amit Mishra.png,12.0,14.0,13.0,40.0,284.0,3/14,23.66,7.07,20.08,0.0,0.0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg
2018.0, 21 ,Amit Mishra,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Yuzvendra Chahal.png,12.0,10.0,10.0,37.0,264.0,5/17,22.0,7.13,18.5,0.0,0.0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg
2018.0, 22 ,Yuzvendra Chahal,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ankit Rajpoot.png,12.0,14.0,14.0,50.0,363.0,4/25,30.25,7.26,25.0,0.0,0.0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg
2018.0, 23 ,Ankit Rajpoot,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mohammed Siraj.png,11.0,8.0,8.0,26.0,223.0,5/14,20.27,8.52,14.27,0.0,1.0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png
2018.0, 24 ,Mohammed Siraj,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Lungi Ngidi .png,11.0,11.0,11.0,41.0,367.0,4/32,33.36,8.95,22.36,0.0,0.0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg
2018.0, 25 ,Lungi Ngidi ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Krishnappa Gowtham.png,11.0,7.0,7.0,26.0,156.0,4/10,14.18,6.0,14.18,1.0,0.0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg
2018.0, 26 ,Krishnappa Gowtham,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ravindra Jadeja.png,11.0,15.0,15.0,40.0,312.0,2/12,28.36,7.8,21.81,0.0,0.0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png
2018.0, 27 ,Ravindra Jadeja,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Jaydev Unadkat.png,11.0,16.0,14.0,41.0,303.0,5/16,27.54,7.39,22.36,0.0,0.0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg
